complex	gene	gene_name	DR	DL	gmm_subgroup	literature_role	role_source
Ino80 complex	SPBP23A10.08	alp5	0.65	1.4	minor	Arp4 (actin-related), shared HSA-module with Swr1/NuA4	Watanabe2015 ncomms8108
Swr1 complex	SPAC1F5.11c	tra2	0.523	2.76	minor	Swr1-specific module (Tra2/Arp6-associated)	Poli2017 PMC7171469
Swr1 complex	SPAC637.12c	mst1	0.638	1.83	minor	MYST HAT (Mst1/Esa1-related), links to NuA4 activity	Poli2017 PMC7171469
Swr1 complex	SPAC9G1.13c	swc4	0.72	3.48	minor	Swc4/Eaf2, shared Swr1-NuA4 module component	Poli2017 PMC7171469
Swr1 complex	SPAPB8E5.09	rvb1	1.176	-0.0	core	Rvb1/Rvb2 heterohexamer, shared with Ino80/NuA4	Watanabe2015 ncomms8108; Poli2017 PMC7171469
Swr1 complex	SPBC32H8.12c	act1	1.143	-0.0	core	Actin, shared HSA-module with Ino80/NuA4	Watanabe2015 ncomms8108
Swr1 complex	SPBC83.08	rvb2	1.081	0.05	core	Rvb1/Rvb2 heterohexamer, shared with Ino80/NuA4	Watanabe2015 ncomms8108; Poli2017 PMC7171469
Swr1 complex	SPBP23A10.08	alp5	0.65	1.4	minor	Arp4 (actin-related), shared HSA-module with Ino80/NuA4	Watanabe2015 ncomms8108
eukaryotic translation initiation factor 3 complex, eIF3m	SPAC1751.03	tif313	1.037	1.13	core	eIF3 core subunit, essential	Zhou2005 PMC1173091; PomBase
eukaryotic translation initiation factor 3 complex, eIF3m	SPAC25G10.08	tif302	1.106	0.02	core	eIF3 core subunit (eIF3b/prt1), essential	Zhou2005 PMC1173091; PomBase
eukaryotic translation initiation factor 3 complex, eIF3m	SPAC3A12.13c	tif310	0.499	-0.0	minor	eIF3h peripheral subunit, non-essential	Ray2008 PMID19061185; PomBase
eukaryotic translation initiation factor 3 complex, eIF3m	SPAC4A8.16c	tif303	1.155	-0.0	core	eIF3 core subunit (eIF3c/nip1), essential	Zhou2005 PMC1173091; PomBase
eukaryotic translation initiation factor 3 complex, eIF3m	SPAC4D7.05	sum1	1.256	-0.0	core	eIF3 core subunit (eIF3i), essential	Zhou2005 PMC1173091; PomBase
eukaryotic translation initiation factor 3 complex, eIF3m	SPAC637.07	moe1	0.361	4.29	minor	eIF3d peripheral subunit, non-essential	Bandyopadhyay2002 PMID11705997; PomBase
eukaryotic translation initiation factor 3 complex, eIF3m	SPBC17D11.05	tif301	1.224	-0.0	core	eIF3 core subunit (eIF3a/tif32), essential	Zhou2005 PMC1173091; PomBase
